,Año,Trimestre,Provincia,Accesos por cada 100 hogares,datetime
0,2014,1,Buenos Aires,54.5700728794398,2014-1
1,2014,2,Buenos Aires,55.0614169514339,2014-2
2,2014,3,Buenos Aires,56.754739164071,2014-3
3,2014,4,Buenos Aires,56.0943365301975,2014-4
4,2015,1,Buenos Aires,56.3704843302674,2015-1
5,2015,2,Buenos Aires,56.8028056143921,2015-2
6,2015,3,Buenos Aires,57.6886810560801,2015-3
7,2015,4,Buenos Aires,58.2918218273372,2015-4
8,2016,1,Buenos Aires,57.3359078225411,2016-1
9,2016,2,Buenos Aires,59.3385267910581,2016-2
10,2016,3,Buenos Aires,60.1432954546882,2016-3
11,2016,4,Buenos Aires,61.2365874303569,2016-4
12,2017,1,Buenos Aires,58.5740024492033,2017-1
13,2017,2,Buenos Aires,56.2721441616913,2017-2
14,2017,3,Buenos Aires,55.6293833953396,2017-3
15,2017,4,Buenos Aires,57.6096152902582,2017-4
16,2018,1,Buenos Aires,62.6262116616845,2018-1
17,2018,2,Buenos Aires,62.7822665109499,2018-2
18,2018,3,Buenos Aires,64.4405675975205,2018-3
19,2018,4,Buenos Aires,64.6028466348432,2018-4
20,2019,1,Buenos Aires,66.2425552273681,2019-1
21,2019,2,Buenos Aires,67.847139823742,2019-2
22,2019,3,Buenos Aires,69.3563010607913,2019-3
23,2019,4,Buenos Aires,64.2520528824542,2019-4
24,2020,1,Buenos Aires,64.3256310174343,2020-1
25,2020,2,Buenos Aires,65.2205801358229,2020-2
26,2020,3,Buenos Aires,67.6561898309092,2020-3
27,2020,4,Buenos Aires,68.9770222017074,2020-4
28,2021,1,Buenos Aires,69.1052407618594,2021-1
29,2021,2,Buenos Aires,70.0033033602797,2021-2
30,2021,3,Buenos Aires,71.6821894010193,2021-3
31,2021,4,Buenos Aires,75.6641060233847,2021-4
32,2022,1,Buenos Aires,76.0781466115726,2022-1
33,2022,2,Buenos Aires,77.58,2022-2
34,2022,3,Buenos Aires,78.11,2022-3
35,2022,4,Buenos Aires,78.94,2022-4
36,2023,1,Buenos Aires,79.0,2023-1
37,2023,2,Buenos Aires,79.67,2023-2
38,2023,3,Buenos Aires,80.64,2023-3
39,2023,4,Buenos Aires,80.96,2023-4
40,2024,1,Buenos Aires,81.1,2024-1
41,2024,2,Buenos Aires,79.84,2024-2
42,2014,1,Capital Federal,112.254122789269,2014-1
43,2014,2,Capital Federal,113.14335247541,2014-2
44,2014,3,Capital Federal,113.800512332415,2014-3
45,2014,4,Capital Federal,114.896765508016,2014-4
46,2015,1,Capital Federal,114.896997148903,2015-1
47,2015,2,Capital Federal,116.066270918604,2015-2
48,2015,3,Capital Federal,118.28921116432,2015-3
49,2015,4,Capital Federal,118.130363211538,2015-4
50,2016,1,Capital Federal,115.160058888848,2016-1
51,2016,2,Capital Federal,120.039535048253,2016-2
52,2016,3,Capital Federal,120.772877751015,2016-3
53,2016,4,Capital Federal,120.631331736324,2016-4
54,2017,1,Capital Federal,108.369208365608,2017-1
55,2017,2,Capital Federal,124.061393756425,2017-2
56,2017,3,Capital Federal,121.858325909693,2017-3
57,2017,4,Capital Federal,122.89742418735,2017-4
58,2018,1,Capital Federal,106.235671745868,2018-1
59,2018,2,Capital Federal,106.534941281467,2018-2
60,2018,3,Capital Federal,108.445914110219,2018-3
61,2018,4,Capital Federal,108.273149970574,2018-4
62,2019,1,Capital Federal,109.196164558838,2019-1
63,2019,2,Capital Federal,110.545566994852,2019-2
64,2019,3,Capital Federal,112.645387803721,2019-3
65,2019,4,Capital Federal,106.245467510411,2019-4
66,2020,1,Capital Federal,105.980174141819,2020-1
67,2020,2,Capital Federal,106.414805990736,2020-2
68,2020,3,Capital Federal,107.675901165732,2020-3
69,2020,4,Capital Federal,108.311074890435,2020-4
70,2021,1,Capital Federal,108.419939223293,2021-1
71,2021,2,Capital Federal,110.144402032121,2021-2
72,2021,3,Capital Federal,111.271055142509,2021-3
73,2021,4,Capital Federal,111.270026128917,2021-4
74,2022,1,Capital Federal,111.797862691747,2022-1
75,2022,2,Capital Federal,121.31,2022-2
76,2022,3,Capital Federal,122.28,2022-3
77,2022,4,Capital Federal,122.73,2022-4
78,2023,1,Capital Federal,122.59,2023-1
79,2023,2,Capital Federal,115.48,2023-2
80,2023,3,Capital Federal,116.4,2023-3
81,2023,4,Capital Federal,117.02,2023-4
