Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
Catamarca,47,11,37,1,2,1726817
Tucumán,61,7,30,0,0,7633607
Mendoza,48,20,24,5,0,8459615
Jujuy,36,38,18,2,4,2967879
Santa Cruz,34,28,18,13,5,1544763
Buenos Aires,27,52,17,1,1,141262267
Chaco,38,39,16,3,1,4371950
Córdoba,33,45,16,3,0,31447783
La Pampa,12,57,14,13,1,3442426
Salta,40,40,13,2,2,5906424
Río Negro,41,28,13,7,7,4938434
Santa Fe,37,44,12,3,1,28043957
Misiones,36,44,12,3,3,5126077
San Juan,58,11,12,12,5,2781847
La Rioja,25,57,11,4,0,1963426
Neuquén,30,44,10,13,1,4952973
Formosa,44,24,9,21,0,1690188
Corrientes,42,44,7,3,2,4354512
Entre Ríos,40,42,7,6,2,8548169
Santiago Del Estero,29,58,5,4,1,3201468
San Luis,12,17,5,50,14,2874412
Chubut,40,28,5,17,8,4312457
Capital Federal,20,73,4,0,1,55284168
Tierra Del Fuego,41,53,2,0,3,1615578
