index,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2024,2,Buenos Aires,157,41
1,2024,2,Capital Federal,233,01
2,2024,2,Catamarca,97,38
3,2024,2,Chaco,107,76
4,2024,2,Chubut,21,67
5,2024,2,Córdoba,117,39
6,2024,2,Corrientes,104,26
7,2024,2,Entre Ríos,100,98
8,2024,2,Formosa,82,66
9,2024,2,Jujuy,49,87
10,2024,2,La Pampa,28,73
11,2024,2,La Rioja,64,24
12,2024,2,Mendoza,55,32
13,2024,2,Misiones,96,15
14,2024,2,Neuquén,97,04
15,2024,2,Río Negro,75,05
16,2024,2,Salta,87,03
17,2024,2,San Juan,32,17
18,2024,2,San Luis,181,61
19,2024,2,Santa Cruz,29,89
20,2024,2,Santa Fe,102,51
21,2024,2,Santiago Del Estero,48,95
22,2024,2,Tierra Del Fuego,22,09
23,2024,2,Tucumán,108,93
24,2024,1,Buenos Aires,159,13
25,2024,1,Capital Federal,229,94
26,2024,1,Catamarca,91,45
27,2024,1,Chaco,107,51
28,2024,1,Chubut,20,50
29,2024,1,Córdoba,114,89
30,2024,1,Corrientes,102,49
31,2024,1,Entre Ríos,101,36
32,2024,1,Formosa,83,80
33,2024,1,Jujuy,47,52
34,2024,1,La Pampa,26,55
35,2024,1,La Rioja,63,71
36,2024,1,Mendoza,51,85
37,2024,1,Misiones,94,98
38,2024,1,Neuquén,98,16
39,2024,1,Río Negro,75,00
40,2024,1,Salta,84,34
41,2024,1,San Juan,30,58
42,2024,1,San Luis,179,49
43,2024,1,Santa Cruz,31,60
44,2024,1,Santa Fe,100,20
45,2024,1,Santiago Del Estero,44,90
46,2024,1,Tierra Del Fuego,21,54
47,2024,1,Tucumán,103,36
48,2023,4,Buenos Aires,158,49
49,2023,4,Capital Federal,234,44
50,2023,4,Catamarca,89,4
51,2023,4,Chaco,107,14
52,2023,4,Chubut,20,29
53,2023,4,Córdoba,114,03
54,2023,4,Corrientes,100,9
55,2023,4,Entre Ríos,101,18
56,2023,4,Formosa,83,35
57,2023,4,Jujuy,46,2
58,2023,4,La Pampa,25,61
59,2023,4,La Rioja,64,18
60,2023,4,Mendoza,49,46
61,2023,4,Misiones,93,65
62,2023,4,Neuquén,99,63
63,2023,4,Río Negro,74,37
64,2023,4,Salta,83,04
65,2023,4,San Juan,24,78
66,2023,4,San Luis,174,59
67,2023,4,Santa Cruz,36,77
68,2023,4,Santa Fe,99,81
69,2023,4,Santiago Del Estero,44,22
70,2023,4,Tierra Del Fuego,17,92
71,2023,4,Tucumán,101,55
72,2023,3,Buenos Aires,146,84
73,2023,3,Capital Federal,218,13
74,2023,3,Catamarca,87,9
75,2023,3,Chaco,107,5
76,2023,3,Chubut,19,26
77,2023,3,Córdoba,111,5
78,2023,3,Corrientes,99,64
79,2023,3,Entre Ríos,96,26
80,2023,3,Formosa,80,29
81,2023,3,Jujuy,44,55
82,2023,3,La Pampa,24,21
83,2023,3,La Rioja,63,84
84,2023,3,Mendoza,46,96
85,2023,3,Misiones,91,49
86,2023,3,Neuquén,96,57
87,2023,3,Río Negro,70,93
88,2023,3,Salta,80,8
89,2023,3,San Juan,24,45
90,2023,3,San Luis,104,97
91,2023,3,Santa Cruz,15,67
92,2023,3,Santa Fe,97,39
93,2023,3,Santiago Del Estero,41,46
94,2023,3,Tierra Del Fuego,17,17
95,2023,3,Tucumán,98,85
96,2023,2,Buenos Aires,138,35
97,2023,2,Capital Federal,208,01
98,2023,2,Catamarca,86,13
99,2023,2,Chaco,105,45
100,2023,2,Chubut,18,58
101,2023,2,Córdoba,111,82
102,2023,2,Corrientes,97,21
103,2023,2,Entre Ríos,89,37
104,2023,2,Formosa,77,32
105,2023,2,Jujuy,43,56
106,2023,2,La Pampa,22,78
107,2023,2,La Rioja,63,55
108,2023,2,Mendoza,42,69
109,2023,2,Misiones,90,55
110,2023,2,Neuquén,93,97
111,2023,2,Río Negro,70,76
112,2023,2,Salta,79,10
113,2023,2,San Juan,20,39
114,2023,2,San Luis,103,84
115,2023,2,Santa Cruz,15,48
116,2023,2,Santa Fe,94,87
117,2023,2,Santiago Del Estero,37,62
118,2023,2,Tierra Del Fuego,16,92
119,2023,2,Tucumán,96,69
120,2023,1,Buenos Aires,116,18
121,2023,1,Capital Federal,188,65
122,2023,1,Catamarca,87,41
123,2023,1,Chaco,104,33
124,2023,1,Chubut,18,36
125,2023,1,Córdoba,109,57
126,2023,1,Corrientes,94,8
127,2023,1,Entre Ríos,86,71
128,2023,1,Formosa,73,96
129,2023,1,Jujuy,42,75
130,2023,1,La Pampa,20,09
131,2023,1,La Rioja,63,13
132,2023,1,Mendoza,41,45
133,2023,1,Misiones,89,81
134,2023,1,Neuquén,93,42
135,2023,1,Río Negro,74,4
136,2023,1,Salta,76,85
137,2023,1,San Juan,18,7
138,2023,1,San Luis,55,85
139,2023,1,Santa Cruz,14,98
140,2023,1,Santa Fe,92,22
141,2023,1,Santiago Del Estero,36,27
142,2023,1,Tierra Del Fuego,14,58
143,2023,1,Tucumán,95,79
144,2022,4,Buenos Aires,111,00
145,2022,4,Capital Federal,182,86
146,2022,4,Catamarca,83,33
147,2022,4,Chaco,104,02
148,2022,4,Chubut,15,92
149,2022,4,Córdoba,108,77
150,2022,4,Corrientes,94,72
151,2022,4,Entre Ríos,87,47
152,2022,4,Formosa,72,03
153,2022,4,Jujuy,39,32
154,2022,4,La Pampa,19,10
155,2022,4,La Rioja,61,00
156,2022,4,Mendoza,38,76
157,2022,4,Misiones,91,24
158,2022,4,Neuquén,95,37
159,2022,4,Río Negro,75,31
160,2022,4,Salta,75,93
161,2022,4,San Juan,16,39
162,2022,4,San Luis,30,67
163,2022,4,Santa Cruz,14,33
164,2022,4,Santa Fe,90,30
165,2022,4,Santiago Del Estero,34,40
166,2022,4,Tierra Del Fuego,13,48
167,2022,4,Tucumán,88,33
168,2022,3,Buenos Aires,70,19
169,2022,3,Capital Federal,101,05
170,2022,3,Catamarca,60,99
171,2022,3,Chaco,53,21
172,2022,3,Chubut,15,57
173,2022,3,Córdoba,56,32
174,2022,3,Corrientes,45,07
175,2022,3,Entre Ríos,42,49
176,2022,3,Formosa,30,35
177,2022,3,Jujuy,32,43
178,2022,3,La Pampa,18,1
179,2022,3,La Rioja,44,3
180,2022,3,Mendoza,34,16
181,2022,3,Misiones,49,3
182,2022,3,Neuquén,47,81
183,2022,3,Río Negro,34,13
184,2022,3,Salta,41,33
185,2022,3,San Juan,15,84
186,2022,3,San Luis,19,33
187,2022,3,Santa Cruz,12,6
188,2022,3,Santa Fe,45,15
189,2022,3,Santiago Del Estero,17,69
190,2022,3,Tierra Del Fuego,11,01
191,2022,3,Tucumán,53,36
192,2022,2,Buenos Aires,65,50
193,2022,2,Capital Federal,93,97
194,2022,2,Catamarca,56,56
195,2022,2,Chaco,50,61
196,2022,2,Chubut,14,91
197,2022,2,Córdoba,53,51
198,2022,2,Corrientes,43,31
199,2022,2,Entre Ríos,40,03
200,2022,2,Formosa,28,47
201,2022,2,Jujuy,29,39
202,2022,2,La Pampa,16,07
203,2022,2,La Rioja,43,28
204,2022,2,Mendoza,29,72
205,2022,2,Misiones,46,23
206,2022,2,Neuquén,46,53
207,2022,2,Río Negro,33,26
208,2022,2,Salta,38,77
209,2022,2,San Juan,14,44
210,2022,2,San Luis,19,32
211,2022,2,Santa Cruz,11,81
212,2022,2,Santa Fe,42,01
213,2022,2,Santiago Del Estero,16,34
214,2022,2,Tierra Del Fuego,10,97
215,2022,2,Tucumán,50,09
216,2022,1,Buenos Aires,62,51
217,2022,1,Capital Federal,88,22
218,2022,1,Catamarca,51,22
219,2022,1,Chaco,45,84
220,2022,1,Chubut,13,40
221,2022,1,Córdoba,49,89
222,2022,1,Corrientes,38,11
223,2022,1,Entre Ríos,35,59
224,2022,1,Formosa,30,28
